ERR1018240	ERR1018195	ERR1018209	ERR1018239	ERR1018238	ERR1018237	ERR1018236	ERR1018235	ERR1018234	ERR1018233	ERR1018232	ERR1018241	ERR1018193	ERR1018205	ERR1018203	ERR1018210	ERR1018199	ERR1018198	ERR1018208	ERR1018207	ERR1018186	ERR1018192	ERR1018189	ERR1018227	ERR1018224	ERR1018213	ERR1018201	ERR1018200	ERR1018202	ERR1018185	ERR1018212	ERR1018187	ERR1018197	ERR1018196	ERR1018190	ERR1018188	ERR1018191	ERR1018211	ERR1018194	ERR1018214	ERR1018225	ERR1018222	ERR1018226	ERR1018228	ERR1018216	ERR1018221	ERR1018229	ERR1018231	ERR1018218	ERR1018223	ERR1018215	ERR1018230	ERR1018219	ERR1018220	ERR1018279	ERR1018280	ERR1018281	ERR1018282	ERR1018283	ERR1018284	ERR1018285	ERR1018310	ERR1018286	ERR1018287	ERR1018288	ERR1018289	ERR1018290	ERR1018291	ERR1018311	ERR1018312	ERR1018292	ERR1018293	ERR1018242	ERR1018243	ERR1018308	ERR1018244	ERR1018245	ERR1018246	ERR1018309	ERR1018247	ERR1018248	ERR1018249	ERR1018250	ERR1018251	ERR1018252	ERR1018253	ERR1018254	ERR1018255	ERR1018256	ERR1018257	ERR1018258	ERR1018259	ERR1018260	ERR1018261	ERR1018262	ERR1018263	ERR1018264	ERR1018265	ERR1018266	ERR1018267	ERR1018268	ERR1018269	ERR1018270	ERR1018271	ERR1018272	ERR1018273	ERR1018274	ERR1018275	ERR1018276	ERR1018277	ERR1018278	ERR1018217	ERR1018206	ERR1018204	ERR1018305	ERR1018306	ERR1018307	ERR1018294	ERR1018298	ERR1018295	ERR1018299	ERR1018296	ERR1018300	ERR1018297	ERR1018301	ERR1018302	ERR1018303	ERR1018304
Streptococcus mitis [Cluster1402]	6.52229611936596	0.729082520634496	2.17927048890328	1.15588925114158	2.18564336359377	5.53670049513913	0	0	2.89987327115984	5.73306274096567	1.15346942171428	0	0	3.31254508577979	2.51772128714204	9.33087671722722	5.51920926526775	6.79119138659995	0.816131676182439	2.73300769782498	0	0.266094407765481	0	0.396809866345265	0	24.3958925409387	0	5.0972227056407	0	0.0353888188163924	0.124129151570405	3.88376114056719	0	23.2313301901441	0.420055086935803	0	2.95686345592272	11.3705244061352	29.7611356676656	3.90508693944881	2.51587663217367	1.1949289597723	0.962177116920099	0.262179062094796	1.38679162690425	2.11067118129726	11.9977453951539	1.09991264529259	0	2.92497868313246	6.19021310097376	2.96626967594868	16.5548521778073	0.746563301249544	2.59971852831783	0	1.31022505258722	335.748724248395	18.3901834426564	1.99039603388715	3.19802494733352	0	3.89878929353488	0.490051671785039	1.47776451641354	12.8987650145881	1.19364943126774	0	0	13.0570293086669	0	4.01724903360273	3.60956701486987	12.0055626713208	0.232527115868987	5.36310727606863	2.39714042310705	0	9.22388791170567	0	0	1.27339082073791	5.20891354120957	0	0.489699622913956	0	7.76383421461655	0.116759761403867	3.34095860867639	0	0	0	0.652123993069164	6.15257074682051	2.58926293378972	6.40988768625634	5.05150290651338	1.10133801884018	0	1.1887514669477	2.17186400687302	0	1.61199149281997	0	0	0	1.98648353922246	0.0581388395734859	0	40.1734841044708	3.93083217542729	7.5578251769148	0	1.34350876892809	6.97097877723688	0	18.0164829002852	0	7.37301247927192	7.62773943295035	2.00167379998252	2.19817440379924	4.77960477386466	0	2.1991107061893	0	0.219130361869225	8.32865604079711
Streptococcus mitis [Cluster1403]	2.66161295217171	0.146429833765399	0	0.472167245287429	1.49400897424929	3.977430488714	1.00699171984464	1.98149249328871	3.0531075779514	6.39167298196904	0.961991907217199	1.50711458053996	0	3.52723713508397	2.39892945370667	1.35700244936186	1.44317379228063	2.5109399138525	0.0602266034460139	3.52878316774426	5.63975667826434	4.04997914898598	1.00014844241434	0.391708761203754	6.19919278033037	15.2487984535263	0	7.20964117972711	0	0.744282396240618	0.470194026005817	0	1.01734626515247	1.29703031755004	0.191352154859156	0.469382468617566	2.70255686200698	8.23382559407092	10.0388898028886	0	0.587392116418475	0.325743215671306	0.304648191560773	1.93512053194044	1.00633736362926	1.89338469457276	16.7993230775461	0	0	0	7.00518562246645	0.989911873031624	5.83814110326278	4.76638051898591	0	2.12912088355793	0.35897064919763	110.029964946229	6.50336570823502	0	0	0	2.76747036865435	0.574576958560392	1.97310301951186	0.999384354105036	0.32971481933774	1.0122275553191	0	4.66848374819916	0	0	0	2.86356108034282	0	1.32752156327819	1.26204771346588	0	0	0	0.986227946400527	0.288257581614553	1.31162941393834	0	2.87242613803618	0	2.76473447451483	0	0.353111527270691	2.95575254796775	3.16160211973867	0	0.994789408210895	5.72088318471844	8.50956951642192	1.05881684468643	1.88490751975473	1.00223734247698	0	0.991513638351898	0	0	2.60203745874832	0	0.994587984962815	0	1.27490687207395	0	0	24.4694900273509	0	12.6750881986135	1.01175686222068	0.620922502633033	0	0	14.7278338938517	0	0.996661207108703	3.42630494984031	0.0228177103913295	0	0	0	1.30362699017544	0	0	0
Streptococcus mitis [Cluster1404]	0	1.01197752027125	0	0.49203250060157	2.11746884497782	1.6001859908185	1.00718786158984	0	0	7.92743620711124	0.962366697086915	0	0	7.00339185068663	0.994858566974408	0	0	9.77051499833137	0.998279904607333	3.69367802939258	1.55012714085428	0.144028586606873	0	0.0411680522916193	0.557825075634135	10.7169431317022	0	0.788442430179461	0	1.9759885822648	0.866125042325467	1.06043971594829	0.192398182945602	21.0738006065006	0.191426705225589	2.80084474025252	0	0.570045387417871	10.6910201260326	0	0.414766191045948	0.499592438951814	0	1.1393014679561	0	1.24348890991527	14.4269966850562	0	0	1.41577107037058	2.33639266528397	2.97031406389797	2.78878368190384	4.49688557724137	5.66833995102054	0	2.88471492603938	131.409608433443	8.57374249921355	1.67434646276416	0.102271951391151	0	2.34533369953666	0	2.46719529246295	2.99873704226492	0	2.02484943379961	1.93014724526766	0	0	0.292655098279059	0	1.63665010124033	0	2.48889289285663	0	4.44779169586371	3.99775818000952	1.00239313374934	0	2.0590554754961	2.9511665169945	1.98140375351511	0.467294567888185	0	0.236043182894033	0.728244364819115	0	6.61102035656314	0	0.979251638116063	0	2.31615987068715	10.4992570686506	0.234817526065641	4.55160113364809	0	0	0	0	0	2.47623356505714	1.00097455338708	0.52823675584513	0	0	0	0	10.33385630318	5.3044128143086	3.58832059509042	0	0.566303599820837	10.0733990788475	0	14.0392525769489	0	0	0	0	0	0	1.98324762719761	0.181548807523452	2.00490757821415	0	4.09615627702802
unnamed Streptococcus sp. M334 [Cluster1405]	1.32339370632326	0	0	0	0.990347741692521	0	2.67488486842366	0	0.554872890928571	0	0.957795566731731	0	1.00104224721579	7.2199946620321	0	2.0240023562656	6.55225977505771	7.61459010258195	0.0596906889500121	5.1468697670428	0	0	0.995688687824276	0.388223218414874	0.510550913775816	13.3882401510885	0	4.86195002558758	0	0	0	1.65860455813218	0	4.53233777509522	0	0	6.75262296824321	0	6.60840100736365	1.57517027701769	1.49609910847992	0.494954081645237	1.28184021250746	0	0.501410116439756	0	12.1103732121359	2.159647303966	0	0.220250004594107	1.70610434545429	0	2.24270106225138	0	0	0	1.27605577393221	81.3856433198184	4.33481935401936	0	0	0	0	4.89467234631925	0	1.23230655074215	0.447974312934669	0	0	3.00945888705332	0	0.338261006638372	2.83742906838564	5.83638881876855	1.92968087315608	0	0	1.22748618363538	3.91473922260699	0	3.93592069889693	0	1.95828989249706	0	0	0.49167022207008	0	0	0	1.95732463993784	2.43940737889396	0	0	2.05348532384656	5.31155396426436	6.16084372640039	0	0.99776827328796	0	0.987092387153353	0	0	0	0	0	0	0	0.0214257008957126	1.10174599627613	3.23125835999518	2.63208795653073	6.71501292513297	0	0.984088730103993	2.67500972603022	0	12.4462720871433	0	0	3.99962926852349	0	0	0	0	0	0	1.963668915187	4.6271680992842
Streptococcus mitis [Cluster1406]	0	0	0	0.953152418682982	0	0	2.32142014934191	0	0.69386511358742	3.93993182739341	0	0	0.994103949006359	9.73912144742181	0.449893167888523	6.78546155403121	7.58506562149667	3.09986720782764	0.714257458127436	6.1466564572524	2.37295437871967	3.5011919852734	0	0.169382531648541	5.07280235875396	7.988352740509	0	6.16285612697357	0	0.216008801365503	0	0	1.00578996371928	6.22793436725197	0.187029607544599	0.458779358708948	2.89675251689798	0.539915063118877	12.9211870667554	0	1.76861469747283	0.663301756302001	1.90471796614795	0	0	0	15.8101810140417	0	0	1.97566821100165	0	0	5.5127977427813	1.32082045055237	1.98103172674839	1.89047865176858	0.950463767827377	151.235947321568	8.78580501830539	1.48253578135639	0	0	2.74854415862602	0	0	4.2260255634893	0.404687891863294	0	0	7.26838161677373	0	0	1.90715342930968	2.61282267272254	0	1.4715168792633	0	0.494735775946762	0	0	0	9.88312822939048	1.20045444207861	0	0	0	1.88116657309677	0	0	1.94375827739688	0.316567070129464	0	0	2.72826465700583	10.6106256020248	0.980949397961335	10.6076766350371	0	0	0	0	0	3.92786067413618	0	1.31277392354856	0	0	0	0.123113091122188	13.033937984855	4.81901867330328	13.6219003436763	0	0.535213975224343	4.33834790596081	0	5.78294052040244	0	0	0	0.0223022699833082	0	0	0	0.277154072668493	0	0.159157360282596	2.00404363150784
unnamed Streptococcus sp. M143 [Cluster1407]	0	2.9943966997739	0	1.27040297678243	2.12280860181557	0	0	0	0	4.59138058853048	0.949511730386752	0	0	0	1.96333034128257	2.22910775364081	21.9435187227978	1.97335472615163	0	0.91370547878525	2.60278837819252	2.74357653680034	0.987077119315321	0	0	4.96578299663252	0	1.13356528217609	0	0.0345504432420366	0.0539328055629447	0.6260811298552	0	6.19860695365259	0	0.921233704686811	0	0	9.48316093409892	0	3.74673642505855	0.0963300467706942	4.03949107775917	0.395515255999604	0	0.160010575688394	9.99868929539973	0	0.407608788566142	0	0	0.486838623688374	0	0.490217126324019	0	1.9755008594525	1.04646772786397	35.9238288627359	16.6151547294547	0.965268593983681	0	0	1.92682511550065	2.9134728334443	0	1.53998762900498	0	0	0.958421132702084	5.03706761020124	0	0	0.0142691505107528	0	0.956495670165199	0	0	0	0	0	0	1.47363168524271	6.44592436214298	0	0	0	0	0	0	0	0.361084676174517	0	0	0	12.5773980692163	2.24144508727739	15.2384729057471	0	0.218912806355552	0	0	0	0	0	0	0	0	0	0	22.2499880920511	0	4.20033775772281	2.63498037323159	0	0	1.98784717598252	0	0	2.62334805339043	8.82362895603869	0	0	0	0	0.987537662862397	0	0.99564218035602	4.16635516771286
Streptococcus mitis [Cluster1408]	1.98272515930893	0.410519859245994	1.39043371194063	0	0	0	0	0	0	1.99956033436349	0	0	0	0	0	3.22093809252487	20.3904939881452	1.9690975207294	0.403064029449896	0.654988608988314	0	0	0	0.985408950178419	0.971995221154185	8.50599344881781	0	1.93493804332439	0	0.981494328690738	0	0	0	14.4929491471362	0.986128677119495	0	0	0	4.11567737462827	0	2.49293222014286	0	2.38525533346927	0.155386332412851	0.499471552174923	0	3.58214487576045	0	0	0	4.41058675373232	0.493455129444036	3.19272251464435	2.24014382753237	0	0	0	44.3278279132255	5.11621070407422	0	0	0.986359178060745	1.28089403644406	0	0.980251935486976	0	0.989241585549486	0	0	0	0	2.41008525494713	0	0.538351239269643	0.19359624145596	0	0	0.483549365316486	0	0	0	0	0	0	0	1.9602187539784	0.352206300979673	1.98777874896869	0.977313233559876	1.96534141479706	0.6099868175072	0.195603328087017	0	1.95168334214612	6.90299964746619	8.66212902234122	0	1.19920571199807	0	0	0.981907379299353	0	0.984844046889319	0	0	0	1.9761052389982	1.96214161467436	0	11.3460783241804	1.14011203461081	2.69648723476779	1.5096408452745	2.08804253920307	2.28381522021996	0	2.43251112602838	0	3.04625381760008	1.92248659391132	0	0	0	0	1.49236695491156	0	0	0
Streptococcus mitis [Cluster1409]	0	0	0	0	0.98500070413614	0	0	0	2.21129212721473	0	0	0	0	0	0	0	7.69097688938416	1.41017194583696	0	6.57227526520849	0.986925564959677	2.50195234348586	0.990312813690246	0	1.28937162666463	7.5242899511582	0	0	0	0	2.49505216062004	0	0	2.38234266185303	0	0	0	0.804871792916953	6.29984050221534	0	0	0	0	2.10858412974632	2.39370915795319	1.87476482966277	4.92350361492214	0	0	1.97871590588942	2.46172469223344	1.96035382491993	2.45727314162059	0.244510045512369	0	0	0	49.349066417438	5.28484327990749	0	0	0	0.96661186087998	0.973649053695128	0	3.26979077364967	0	0	0.956932906688266	0	0	0	1.91009543228586	2.00592541921071	0	0	0.140349173278178	0	2.33146964059613	0	0	1.34847644138677	0.973858394282668	0	0	2.93012259561137	0.67664585444606	0	0.145598366433225	0	1.94027591323302	0	0	0.443247894640462	0	0	2.76683600531938	0	0	0	0	0	0.981425768284612	0	0	0	0	0	0	1.19245310303563	1.36547330444184	3.70913903604508	0	1.46745445061815	0	0	1.58065162893104	0	3.74271002928279	3.24361731448825	0.992152430168736	0	2.23534111181504	0	0	0.992402189216301	2.92960015364478	0
unclassified Cyanothece [Cluster141]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus oralis [Cluster1410]	2.30840049948084	1.02092603440217	2.63056512392557	6.73805152985318	5.22474504186158	3.99624146941981	2.99213182451667	0	2.43693958726799	7.5224019767283	0	1.3317034903472	0	8.03378878157198	4.94432800348394	13.6222834024548	78.4243857256483	8.99386770688301	1.99566338263925	13.730221323993	4.77918548420847	5.31211349965514	0	0	4.90111094667784	42.606867292445	2.26293180225346	5.37151971288891	0	1.22400009036592	0	2.10678963004079	0.628894334692641	48.25806204406	0	0	4.45575439821932	6.89793573519456	20.8426858808914	0	6.40161421502257	0	10.3543740050682	6.25918779543136	1.01543375166757	0.777072075997462	19.6695558719486	1.98276711953459	0.151107844314498	1.21067794016443	5.82353190213043	0	8.36658682191369	2.98164414844619	4.27288919462611	6.85529474616772	2.89831060867455	452.019679461982	38.7330656584725	0	0.550804511974047	0.338494819376913	3.80373865902491	7.44351881393945	0.651777094695716	9.91838567707959	0.732067235890348	1.02137718541238	2.46349110367208	11.3919482383153	0	0.855944633166864	2.88386420883214	8.90583264212833	0.420323256418423	2.8036592392954	2.18288355412242	3.33934765189022	5.29646242731531	0	1.60605469258279	5.54216659955199	13.4411769852022	2.9615660047333	3.02232588177006	0	4.84474147075081	0.0458300316178422	2.97745419003976	3.08010910417256	6.80658271911449	0	0	7.697976834722	31.7036568030356	9.37535632297242	26.3100812490796	0.99887775052835	0	0	0	0	2.84709422672526	0	2.46251606660872	0.495007289638587	0.788985173664088	0	0.73759660892322	69.6996420448068	4.84374862386784	17.3795769912076	11.7815411102594	2.70132228256548	13.3761969479423	0	4.47782612757296	0	6.67740112855168	9.70280355946898	0.0232320780337315	0	5.39102178083125	0	5.43119780938439	2.48978114749383	1.43600189270189	3.90198748989293
Streptococcus oralis [Cluster1411]	0	0.594454835909751	0	1.11794903574503	5.13809752404018	0.986245421292555	0	0	0	1.09914766059506	3.58360099915882	0	1.99705121297197	0	0.987740066301801	10.7291830743432	39.2336803011864	1.48689438724799	0	6.12729352061222	2.52791296725978	0	0.495244624551885	1.96967451344888	2.2651666691876	10.8995596988768	0	3.51128077851028	0	2.01441283468424	0	4.20952149540969	0	24.4134176781246	0	0	2.72697706460641	0	13.1190308998258	0	0	0.243814963662323	0	1.42009981671958	0	0	3.3482151864719	0	0	1.98445575090748	6.84876526841202	0	3.22794044311914	0	2.47939107289037	2.74178120508617	0	144.323286560184	24.3219173043943	3.42091478399252	0	0	1.93779329811662	0	0	2.35096437722356	0.988667668559223	0	0	3.77552206535832	0	0	0	3.35141023001105	0	0	0	3.78097568317812	0	0	0	1.48580334782185	1.95336671156446	0	0	0	0.997692297888406	0	1.95349247381065	4.39837798424013	3.35948253423833	0	0	0.530741863179297	24.5998107179503	5.03846668763457	19.0859949308903	0	0	0	0	1.94689336108787	1.97961232642279	1.98762458212697	0	0	0.196434404314423	0.980501630693973	0	53.98654670585	0	5.83475197224429	0	1.47313290054602	0	0	1.51876857278682	0	2.35024646775063	3.43067854540608	0	0	1.38883630067277	0	9.54480758263364	0	0.141256997127081	0
Streptococcus sanguinis [Cluster1412]	0	1.25058645769204	2.52980101595815	0	0	2.45535709087191	0	0	3.50549537888674	0	0	0	0	3.84912407873491	0	17.838319438927	48.1916011452819	4.25554466492833	0.671035820211655	0.401667182120914	1.25744518251934	0	1.97795580658487	0	0	3.7446525980746	0	2.3894928719095	0	0.681798916886857	0.747507320187187	0	0	20.4299821642529	0	0	0	4.46475031128848	13.0366448213488	0	7.21737145064455	0	5.71525425544336	0.128549641901712	0	1.87223770587928	7.23938549524238	0	0	0.988024329669031	0	0	0	0.492106936161599	0	7.33454002731144	0.950646795704871	108.526268294778	9.24865209353782	2.40768660665058	0	0.325072538586808	3.50061902206581	0	0.324822579462114	0	0.0296896195456252	1.00092210602034	0	2.68382523463598	0	2.44784262718179	3.33698938828102	5.26905543465335	0	2.35735273578673	0.935721199903986	1.98248189820911	3.63087455359968	0	0	0	5.61211213982706	0	0.94678145059476	0	0.919732485361212	0.711790547309819	0.217809160482863	4.47112269762942	0	0	1.96735744701057	0	22.0945343458867	7.06064520499337	1.04148932401494	1.98208694535694	0	0	0	0	0	0	0	0	0	0	0	15.4365460224178	0	3.07420612488228	5.00228335018601	3.47917672156036	6.37438307234322	0	0	0	4.46638872467283	1.41041562533972	0	0	11.598088943539	0	2.11045370107303	0.991064462406265	0.975217048385766	2.89034239171365
unnamed Streptococcus sp. oral taxon 071 [Cluster1413]	0.505814321768034	3.49927318867413	0	0.952602205626209	0.982915845997695	3.43440082126708	2.00127583353452	0	1.92410025606217	3.08475817099143	2.13797506880187	0	0	1.34336301352391	0	7.78470372490781	118.45074954655	4.34883147017237	0.0587981732423029	39.8559122102558	1.71890995196033	0	0	0	0.415508440373135	43.5370820695749	0	0	0	0	2.48871625305064	0	0.187761809140127	20.1926808038855	0	2.07703145990905	2.70987000299179	1.32523748101248	14.6568952417454	2.64766008329857	5.94073674347366	0.28965781080268	2.69334094117335	2.09471357377088	0	0	11.2320844603184	2.30741061766989	0	0.287563018045938	11.9190586773087	0	13.0665330782078	0	4.36752761939134	1.09846614251768	0.949915106810736	131.846491768645	37.7194584973837	0.943430212768359	0	0.324572330869257	0	1.94421354393965	0.974781990109043	1.67606576697231	0.0891382265363856	0	3.33623726036312	10.8578770177605	0	2.8799034670217	1.90605251334125	2.82139370525096	0	2.74578052181267	2.805002996595	0	4.30062526995647	0	0.203911562596158	0	4.10390327964896	0	0.946052736759398	0	4.8378767325501	0.0439450158008218	0	2.9139543465844	1.0885439646511	0.302228796775014	0	4.88131925051049	17.838363394499	0	8.77653919580461	0.338303736922836	1.9032200714305	0	0	1.937153275002	1.95869695375178	0.988840361187083	0	0	0	1.95119258507544	0.00951586887735971	34.7563273216169	3.13176824504036	8.98655005291834	1.99937328747477	0	6.67167926880472	0	4.38769581067212	0	15.3251859856128	0	0.990052434645962	0	7.15218633906778	0	3.45670404023934	0	3.29325246783994	2.21797282285453
Streptococcus mitis [Cluster1414]	0.990595864588994	1.25668388174705	0	2.2354036882343	0	0.986054731922622	0	0	0.313605388815499	0	2.86560877795955	0.994718249206379	0.998332542756966	6.40189222561506	0.987549087944047	3.90978353694936	6.53135271664434	6.7582966711291	0.990945288138833	4.28569614209119	3.53964157402837	0	0	0	0	9.34638181407686	0	6.47265870881414	0	0.980735245683243	0	0	2.02013653192496	9.2019541434443	0	0	0	0	12.8611071423519	0	8.63750385794386	0	0	0.208898261154004	0	0.939919799558306	4.55905227671787	0	0.577513571340593	0.359049205136039	1.11548445631559	0	3.30089434628657	2.9617813386027	0	1.71809966169175	0.954506730490216	73.4833583070911	6.89372592742344	0.949885746586421	0	0	0.436582843180596	0	0	2.3075406739441	0	0	0	0	0	0	1.95903974101651	0.463785751705844	0.22974802156514	0	1.87904106384432	0	0	0	0.158041638258886	0	2.22877462277085	3.93369175195151	0	0.489012036899209	2.04655018148361	0	0	3.81446223937078	2.16658374584519	0	0	2.34356423456876	14.518512713976	3.42651395119009	14.1267636108783	0	0	0	0	0	0	0.993620138648351	0	0	0	1.97139413073024	0	20.8140580294015	1.13909975010956	2.68109447820805	5.02259424545939	4.90712458418058	2.14640985870871	0	4.69527732274715	0	0.935200880405258	1.10932260840267	0.0224924066700781	0	0	0	0	0	0.190376869960786	0.989744363170743
Streptococcus infantis [Cluster1415]	2.96381248514283	3.28936472618741	6.53932789069654	3.48428530644511	15.3519003257227	4.68889152142795	7.04962104426479	2.11310019492285	4.56713401988351	12.5148710112129	4.43175082398626	2.96582205482369	0.99514004914648	11.2181269839451	8.41695389522094	21.5699657608802	4.44827521110169	57.6945845439942	5.88968832296462	3.39169076449194	1.28907220359692	0.992383279117662	0.500651817662807	2.47946058669982	9.93993505083311	36.0686147210799	0	25.6939958449291	0	5.02898511327162	2.99193281762725	3.86601081303254	0.997912716629982	84.2542156724179	0	0	7.19018576885857	7.65290335644428	42.4404077551248	7.02105682815291	6.9767198688215	3.95357144175752	3.9920450581581	11.2100775285236	4.07078210540392	3.72768272420153	36.8363831908869	0	3.90272299360702	4.95308453864768	19.1609529944765	2.93906165183402	44.5069179542956	7.24786721488916	4.16175143196377	8.41593193770047	0.959888938381372	351.390633590452	76.7948746535807	18.8199627135069	0.575261652958736	0.99115384643553	2.25492697366673	3.40066016981084	0	9.51390143983087	1.04430670378056	0	11.0159935723593	18.4313163811946	0	4.69230550207288	0.967977566844688	20.6789258402206	0.852521090092586	2.96926232263631	7.31650741340009	4.93248199994185	11.1846047795131	0.991846369133851	4.25830368106351	9.11504911416328	11.9720663857795	0.511022937683934	8.51280862835437	5.86597151516433	4.02002173655729	0.156688402142889	9.30235867862201	10.9917031468935	11.8720796757655	2.92402434941628	0.489917179724644	8.57220928146638	43.0632344517686	10.1141898105169	42.7768443158587	1.18195795744194	0	8.72686692538475	0	1.95749281940218	7.67865637175093	4.95510105844966	3.24048857395027	0	7.13872643713531	1.93702920050374	4.2035150410513	149.74043911163	7.44924138414274	70.4481675524606	9.88236602472138	3.88810943575932	41.5094892877346	1.97569605666419	19.8131003593735	3.98121208962674	16.4411310160647	24.3375233436331	2.9749702560985	0.989858251397667	0	1.02073444643414	0	2.04261327874142	0	10.8093985243669
Streptococcus infantis [Cluster1416]	0	1.0378530941016	0	2.96684398480188	3.23750637293589	1.01875251168674	0	0	5.76948238840943	3.67143059154597	2.96063296036892	0	0	4.7604264348075	0.553507544713069	3.85195655678217	8.64919890420298	2.32396778778786	0	2.25152248326833	2.6970357869549	2.07555991457489	0	0	6.24207133204752	8.31591540751887	0	0	0	0	0	2.17510887002737	0	8.68437321023529	0	0	1.11777024487841	0	18.3368571567465	0	3.11300411081114	1.02234932774765	2.48861275865156	0	2.20037792845151	0.971087735380655	7.94680375553812	0	0	4.09972860085599	0	0	11.3408688616965	0	2.19906026513374	3.64256035253817	0	54.012848833584	8.32920639693063	5.00410533366663	0	0	0.549330997906226	0	0	9.37225071161711	0.346926658131372	0	2.28491018772681	6.34909420559015	0	2.24864144868309	0	0	1.98827286131423	2.03965589121249	1.31776657147882	0	6.91266729448119	0	0	8.16090682270641	0	1.01603344691836	0	0	3.99248238135496	0.190884677765401	3.68667659953486	1.02095360046503	1.13642311566485	1.15433108715241	0.517099391897543	2.01484209193191	28.1631853778079	5.7480470299252	20.0230364275559	0.527481566917711	0.987917969558959	0	0	0	1.60054260745223	2.05313757774242	1.42285497141304	0.51155791162807	0	2.26704796227116	1.20593627533038	37.6369760619281	2.16594072228921	5.41975396024758	0	1.01396917097011	7.3540335599701	0	5.43799768449563	0	6.18839912232902	1.63797548396884	0	0	0	0	0	0	2.17008676872386	0.996258555136087
Streptococcus infantis [Cluster1417]	9.12937741902155	11.8105884257031	6.02779893206172	1.12437222600941	4.04495362124688	7.43967769788954	5.87067040684988	2.94017451927496	7.11012051861152	14.6825907450611	0	0	0	21.5307972761349	0	13.2474013934206	1.24954725101368	11.3876402293408	3.94927299576501	0	2.07817909928324	2.126857882399	0	0	11.6746547918828	32.0667646702861	1.19517485105962	3.74307180221547	0	0.0347103679344182	0.996848347989972	2.79990289113332	2.01274246640646	14.1655107593148	0	2.77983149540375	10.8143117584488	2.14528618421957	144.478756498968	4.13528854680969	7.34395310934577	2.98374492653136	0	6.5139828256184	2.20219972063993	1.91175194551011	10.4390230830844	2.66131431525958	0.551865761441771	2.96521499362624	17.3415091817723	0	3.83902059223421	0	3.99700586497443	8.0462088441912	1.90202612602404	270.295339361042	36.4270860215636	19.4757085456034	0.439540781513757	0	14.1271975806564	8.70239506181617	0	8.65961660465056	0	0	0.978250765003103	13.9350290462034	0	0	2.92612369612958	0	0	0	1.38200650582244	1.97787139800826	6.49724842344415	0	1.18455488035031	3.01016546462494	4.46558219564724	7.16691908898438	6.16285360164696	3.78142410962994	0	1.07189413129109	12.0793991708896	11.2633198968322	4.17272215745158	1.95832996040742	0.984057717426882	0.971517964959657	78.1722570144888	17.0537215248075	45.4236251596562	2.33482764009499	0.219926094751581	0	0	0	3.93284274117937	1.00778288864353	2.95157540133927	0	0.983674809780648	3.30032505388104	0	97.2756507118041	1.10515605620051	23.630953731436	0	0	8.68678626086846	0	4.83527970304377	3.96180493492171	6.34190680098434	0	0.991196783443472	0	0	0	0.989820547076296	0	4.97305524871261	7.00095864089154
Streptococcus infantis [Cluster1418]	0.770903826151361	0	0	0	0	6.35097216187614	2.70893248688255	0	4.71973900337808	8.91362205659172	0	0	0	2.16096063810183	1.91037177360048	0	3.36930269483764	2.52284814017042	0	0	0	0	0	0	5.40005311827542	69.9798135134162	0	9.41883574570987	0	0	1.30815845956275	4.8591359051926	1.61436127056797	8.46992521364158	0	0	1.53759998290336	1.94946805272648	10.9097867441329	5.34547224101357	1.95615674514796	1.58154534446995	1.54698219259884	23.8738974783247	3.57283377956668	0	14.0799433186797	0	1.57839577190457	3.31581478648483	5.83115036452934	0	16.7007991164774	5.2460080190975	3.59554505592742	0	1.5255589648008	55.8798073873445	43.0406434359143	1.51436688827517	1.587547030027	0	3.10840907549965	3.68471279755187	3.13099011285333	3.66948221559297	0	0	1.53111495012425	8.34757286699143	0	0	0	1.601019503204	0.110737601291795	0	0.541919096142653	4.71856543130425	1.45504653242518	0	0	0	3.21067782108784	0	0	0	3.94549152297746	0	9.23622820960119	6.65777541274166	1.04662734263312	0	3.15713449392024	0	15.2501515614787	0	35.3868610882442	1.04707176539905	0	0	0	0	7.00670101864475	0	0	0	1.57795300913824	5.27791591223184	0.0245435204552971	62.5161048058237	4.00100106490554	14.430709858734	0	4.7057444405529	0	0	3.15115117981757	0	4.64368780527375	0	0	0	0	0	0	0	0.758500159536433	5.14346155019047
